Geneid	sub06	sub07	sub08	sub21	sub23	sub24
AT1G03520	3	4	6	0	0	0
AT1G03530	6	6	4	2	0	3
AT1G03540	0	1	3	0	1	0
AT1G03550	1	0	0	0	0	0
AT1G03545	0	0	0	0	0	0
AT1G08825	0	0	0	0	0	0
AT1G03560	2	1	5	0	7	2
AT1G03570	0	0	0	0	0	0
AT1G03590	9	8	14	8	6	7
AT1G03600	336	261	248	175	286	155
AT1G03610	19	12	16	8	6	4
AT1G03620	0	1	0	0	0	0
AT1G03630	106	117	112	66	99	45
AT1G03640	0	0	0	0	0	0
AT1G03650	5	2	2	2	4	3
AT1G03660	0	1	3	0	1	4
AT1G04203	0	0	0	0	0	0
AT1G03670	0	0	0	0	0	0
AT1G03680	216	145	167	183	195	160
AT1G03687	5	8	5	3	4	3
AT1G03700	0	0	0	0	0	0
AT1G03710	1	0	0	0	0	0
AT1G03720	0	0	0	0	0	0
AT1G04207	0	0	0	0	0	0
AT1G03730	5	5	7	8	4	12
AT1G03740	47	74	67	17	17	31
AT1G04213	0	0	0	0	0	0
AT1G03743	1	1	1	1	2	1
AT1G03746	2	0	0	1	0	2
AT1G03750	3	5	3	4	0	2
AT1G03760	5	8	5	3	0	5
AT1G03770	2	2	1	1	0	0
AT1G03780	6	8	2	6	3	3
AT1G03790	0	0	0	0	0	0
AT1G03800	0	0	0	0	0	1
AT1G03810	0	0	0	0	0	0
AT1G03820	4	2	2	8	8	2
AT1G03830	2	7	5	1	4	3
AT1G03840	1	0	1	0	3	0
AT1G03850	4	2	7	8	3	51
AT1G03860	46	44	56	41	40	43
AT1G03870	48	32	36	49	47	27
AT1G03880	0	0	0	0	0	0
AT1G03890	0	0	0	0	0	0
AT1G03900	41	40	50	61	63	89
AT1G03905	2	2	4	0	0	3
AT1G03910	25	18	18	15	9	19
AT1G03920	1	0	0	0	0	0
AT1G03930	32	29	29	25	15	16
AT1G04217	0	0	0	1	0	1
AT1G03935	1	0	0	1	1	1
AT1G04223	0	0	0	0	0	0
AT1G04227	0	0	0	0	0	0
AT1G03940	0	0	3	0	4	2
AT1G03950	4	5	5	4	4	12
AT1G03960	7	3	3	2	0	1
AT1G04233	0	0	0	0	0	0
AT1G03970	9	2	9	11	11	23
AT1G03980	0	0	1	3	0	1
AT1G03982	0	0	0	0	0	0
AT1G03990	0	0	1	1	1	0
AT1G04000	11	6	5	1	9	4
AT1G04010	3	1	6	1	1	0
AT1G04020	6	9	5	4	4	0
AT1G04030	2	1	4	1	2	1
AT1G04040	11	21	29	21	23	12
AT1G04237	0	0	0	0	0	0
AT1G04050	0	2	1	0	0	1
AT1G04070	5	3	3	3	2	10
AT1G04080	43	47	43	17	18	18
AT1G04090	0	0	0	1	0	0
AT1G04105	0	0	0	0	0	0
AT1G04100	1	0	0	0	0	2
AT1G04110	4	5	3	0	13	4
AT1G04120	22	16	27	13	7	7
AT1G04243	0	0	0	0	0	0
AT1G04130	2	2	3	7	2	4
AT1G04140	40	39	59	31	18	35
AT1G04150	0	1	0	0	0	0
AT1G04160	6	4	10	1	3	0
AT1G04170	50	27	50	39	38	51
AT1G04180	1	1	0	0	1	0
AT1G04190	8	12	11	17	14	17
AT1G04200	9	16	19	8	4	12
AT1G04210	19	23	22	12	6	7
AT1G04220	0	1	0	0	0	0
AT1G04247	0	0	0	0	0	0
AT1G04230	5	2	2	0	1	2
AT1G04240	9	11	4	3	3	4
AT1G04253	0	0	0	0	0	0
AT1G04250	11	13	4	21	18	9
AT1G04260	12	7	5	16	17	25
AT1G04270	132	106	153	229	191	219
AT1G04280	22	22	17	12	8	32
AT1G04290	1	1	0	0	0	0
AT1G04295	0	0	0	0	0	0
AT1G04300	30	25	43	8	3	8
AT1G04310	2	5	5	2	1	8
AT1G04320	0	0	0	0	0	0
AT1G04330	1	0	0	1	0	1
AT1G04340	9	6	7	1	5	2
AT1G04350	8	19	23	13	15	10
AT1G04360	0	1	2	0	0	2
AT1G04370	0	0	0	0	0	0
AT1G04380	0	0	0	0	0	0
AT1G04257	0	0	0	0	0	0
AT1G04390	6	4	8	0	1	2
AT1G04400	85	72	84	59	40	54
AT1G04410	385	419	512	288	333	522
AT1G04420	92	82	66	41	47	45
AT1G04425	0	0	0	0	1	0
AT1G08835	0	0	0	0	0	0
AT1G04430	71	61	88	37	49	35
AT1G04440	32	26	34	16	9	16
AT1G04445	0	0	0	0	0	0
AT1G04450	0	0	0	0	0	0
AT1G04455	0	0	1	0	0	0
AT1G04470	0	0	0	0	0	0
AT1G04263	0	0	0	0	0	0
AT1G04480	48	32	46	72	62	70
AT1G04267	0	0	0	0	0	0
AT1G04273	0	0	1	0	0	0
AT1G04277	0	0	0	1	0	0
AT1G04490	1	0	1	0	0	0
AT1G04500	0	1	0	0	0	0
AT1G04510	20	19	24	21	19	20
AT1G04520	2	5	10	3	7	3
AT1G04530	26	19	28	23	20	34
AT1G04540	0	2	1	1	0	0
AT1G04550	4	0	8	3	8	9
AT1G04555	0	7	6	11	4	16
AT1G04560	0	0	0	0	0	0
AT1G04570	0	0	0	2	2	1
AT1G08855	0	0	0	0	0	0
AT1G04580	0	0	0	0	0	0
AT1G04590	10	7	7	8	7	6
AT1G04600	0	3	0	0	0	4
AT1G04610	2	0	0	0	0	0
AT1G04620	14	19	19	4	4	6
AT1G04625	0	0	0	0	0	0
AT1G04630	25	18	19	25	12	14
AT1G04635	1	0	1	2	0	0
AT1G04640	18	13	12	16	14	19
AT1G04645	0	0	0	0	0	0
AT1G04650	1	3	1	1	3	1
AT1G04283	0	0	0	0	0	0
AT1G04660	0	4	7	2	3	3
AT1G04670	0	0	0	0	0	0
AT1G04680	95	103	92	108	113	82
AT1G04690	41	41	72	45	40	59
AT1G04700	0	0	1	0	0	0
AT1G04710	8	4	16	6	1	7
AT1G04720	0	0	0	0	0	0
AT1G04730	6	4	5	0	1	1
AT1G04750	55	51	55	70	52	99
AT1G04287	0	0	0	0	0	0
AT1G04760	1	2	4	1	2	0
AT1G04770	1	3	9	12	24	20
AT1G04778	0	1	0	0	0	0
AT1G04780	22	25	30	20	7	33
AT1G04790	8	7	16	6	3	3
AT1G04800	18	16	16	9	9	8
AT1G04810	20	35	33	10	12	26
AT1G04820	218	209	259	114	134	128
AT1G04830	5	8	10	4	1	3
AT1G04840	1	2	1	2	0	1
AT1G04850	32	52	54	37	39	52
AT1G04860	9	13	16	4	1	4
AT1G04870	15	19	17	18	10	10
AT1G04880	0	0	0	0	0	0
AT1G04890	0	0	0	0	0	0
AT1G04293	0	0	0	0	0	0
AT1G04895	0	0	0	0	0	0
AT1G04900	3	3	4	1	0	2
AT1G04297	0	0	0	0	0	0
AT1G04910	16	14	20	13	8	14
AT1G04303	0	0	0	0	0	0
AT1G04920	0	1	2	1	0	0
AT1G04930	1	1	2	6	1	2
AT1G04945	4	2	4	2	3	6
AT1G04940	0	0	0	0	0	0
AT1G04950	12	5	8	3	4	7
AT1G04960	13	12	16	10	5	14
AT1G04970	11	10	10	8	2	4
AT1G04980	3	8	13	12	7	46
AT1G04985	8	14	5	18	5	6
AT1G04990	17	15	9	3	4	9
AT1G05000	0	0	1	1	0	1
AT1G05005	0	0	0	0	0	0
AT1G04307	0	0	0	0	0	0
AT1G05010	137	182	289	208	142	551
AT1G05020	1	2	1	0	3	3
AT1G05030	4	3	11	4	2	8
AT1G04313	1	0	0	0	0	0
AT1G05035	0	0	0	0	0	1
AT1G04317	0	0	0	0	0	0
AT1G04323	0	0	0	0	0	0
AT1G05040	0	1	0	0	0	0
AT1G05055	3	7	8	6	5	2
AT1G05060	5	2	8	8	8	10
AT1G05065	0	1	0	1	3	6
AT1G05070	12	11	4	18	16	18
AT1G05080	0	0	0	0	0	0
AT1G05085	0	0	0	0	0	0
AT1G04327	0	0	0	0	0	0
AT1G04333	0	0	0	0	0	0
AT1G05087	0	0	0	0	1	0
AT1G05090	1	0	0	0	0	0
AT1G05100	0	0	0	0	0	3
AT1G05120	6	10	14	0	4	5
AT1G05136	0	0	0	0	0	0
