"gene"	"xref"	"sub06"	"sub07"	"sub08"	"sub21"	"sub23"	"sub24"
"AT1G03240"	838546	0	0	0	0	0	0
"AT1G03250"	838557	15	6	11	7	8	12
"AT1G03250"	838557	15	6	11	7	8	12
"AT1G03250"	838557	15	6	11	7	8	12
"AT1G03250"	838557	15	6	11	7	8	12
"AT1G03260"	839546	3	4	7	2	1	5
"AT1G03270"	838595	2	0	2	5	2	2
"AT1G03280"	838581	20	15	11	7	2	12
"AT1G03280"	838581	20	15	11	7	2	12
"AT1G03280"	838581	20	15	11	7	2	12
"AT1G03290"	838603	19	10	17	14	12	29
"AT1G03290"	838603	19	10	17	14	12	29
"AT1G03290"	838603	19	10	17	14	12	29
"AT1G03290"	838603	19	10	17	14	12	29
"AT1G03290"	838603	19	10	17	14	12	29
"AT1G03290"	838603	19	10	17	14	12	29
"AT1G03300"	838627	0	0	0	0	0	0
"AT1G03310"	839531	22	20	23	12	13	12
"AT1G03310"	839531	22	20	23	12	13	12
"AT1G03320"	839528	0	0	0	0	0	0
"AT1G03325"	28716026	0	0	0	0	0	0
"AT1G03330"	839526	8	8	7	8	6	12
"AT1G03340"	839525	0	1	0	1	1	0
"AT1G03350"	838679	25	19	31	30	23	37
"AT1G03360"	839521	5	5	5	7	1	1
"AT1G03365"	10723112	5	6	6	5	5	6
"AT1G03365"	10723112	5	6	6	5	5	6
"AT1G03370"	839519	38	47	36	18	6	32
"AT1G03370"	839519	38	47	36	18	6	32
"AT1G03380"	838702	27	29	29	5	7	15
"AT1G03390"	838725	0	0	0	0	0	0
"AT1G03395"	28716027	0	0	0	0	0	0
"AT1G03400"	838751	29	34	34	31	31	61
"AT1G03400"	838751	29	34	34	31	31	61
"AT1G03410"	838763	0	0	0	1	0	0
"AT1G03410"	838763	0	0	0	1	0	0
"AT1G04183"	NA	0	0	0	0	0	0
"AT1G03430"	839506	7	6	7	10	6	7
"AT1G03430"	839506	7	6	7	10	6	7
"AT1G03440"	839504	4	4	6	3	3	6
"AT1G03445"	838804	1	1	0	0	0	0
